OBJECTID,STATION_NA,EXIT_CODE,INC_CRC,FMEL_UPD_D,STATION_NAME_ENGLISH,lines_present,line_count,lines_present_json,is_tagged
17859,EXPO MRT STATION,Exit G,0C14825AD577B2E3,20251202172807,EXPO MRT STATION,"['Changi Airport Branch Line', 'Downtown Line']",2,"[""Changi Airport Branch Line"", ""Downtown Line""]",True
17860,EXPO MRT STATION,Exit A,8F171DDEC2A3C476,20251202172807,EXPO MRT STATION,"['Changi Airport Branch Line', 'Downtown Line']",2,"[""Changi Airport Branch Line"", ""Downtown Line""]",True
17861,EXPO MRT STATION,Exit F,6E43F01A7FD410B2,20251202172807,EXPO MRT STATION,"['Changi Airport Branch Line', 'Downtown Line']",2,"[""Changi Airport Branch Line"", ""Downtown Line""]",True
17862,SPRINGLEAF MRT STATION,Exit 2,CAB3151915361262,20251202172807,SPRINGLEAF MRT STATION,['Thomson-East Coast Line'],1,"[""Thomson-East Coast Line""]",True
17863,SPRINGLEAF MRT STATION,Exit 3,8D6ED46D4B845735,20251202172807,SPRINGLEAF MRT STATION,['Thomson-East Coast Line'],1,"[""Thomson-East Coast Line""]",True
17864,WOODLANDS NORTH MRT STATION,Exit 1,469EE4BF80F069CC,20251202172807,WOODLANDS NORTH MRT STATION,['Thomson-East Coast Line'],1,"[""Thomson-East Coast Line""]",True
17865,WOODLANDS NORTH MRT STATION,Exit 2,72D10D55C51FC3F5,20251202172807,WOODLANDS NORTH MRT STATION,['Thomson-East Coast Line'],1,"[""Thomson-East Coast Line""]",True
17866,WOODLANDS MRT STATION,Exit 5,372C516598D98235,20251202172807,WOODLANDS MRT STATION,"['North-South Line', 'Thomson-East Coast Line']",2,"[""North-South Line"", ""Thomson-East Coast Line""]",True
17867,WOODLANDS MRT STATION,Exit 7,AD7053030CB8BF9F,20251202172807,WOODLANDS MRT STATION,"['North-South Line', 'Thomson-East Coast Line']",2,"[""North-South Line"", ""Thomson-East Coast Line""]",True
17868,WOODLANDS SOUTH MRT STATION,Exit 1,45D78AD571DA0977,20251202172807,WOODLANDS SOUTH MRT STATION,['Thomson-East Coast Line'],1,"[""Thomson-East Coast Line""]",True
17869,WOODLANDS SOUTH MRT STATION,Exit 2,E9A31A80A570C976,20251202172807,WOODLANDS SOUTH MRT STATION,['Thomson-East Coast Line'],1,"[""Thomson-East Coast Line""]",True
17870,WOODLANDS SOUTH MRT STATION,Exit 3,6518624D5602BB64,20251202172807,WOODLANDS SOUTH MRT STATION,['Thomson-East Coast Line'],1,"[""Thomson-East Coast Line""]",True
17871,WOODLANDS SOUTH MRT STATION,Exit 4,2F1F88360B17E436,20251202172807,WOODLANDS SOUTH MRT STATION,['Thomson-East Coast Line'],1,"[""Thomson-East Coast Line""]",True
17872,SPRINGLEAF MRT STATION,Exit 1,122980157DCB57C6,20251202172807,SPRINGLEAF MRT STATION,['Thomson-East Coast Line'],1,"[""Thomson-East Coast Line""]",True
17873,LENTOR MRT STATION,Exit 2,1D02FE80AE160F4F,20251202172807,LENTOR MRT STATION,['Thomson-East Coast Line'],1,"[""Thomson-East Coast Line""]",True
17874,LENTOR MRT STATION,Exit 1,AD8355986951011E,20251202172807,LENTOR MRT STATION,['Thomson-East Coast Line'],1,"[""Thomson-East Coast Line""]",True
17875,LENTOR MRT STATION,Exit 3,26CD4A0F04FEAE7A,20251202172807,LENTOR MRT STATION,['Thomson-East Coast Line'],1,"[""Thomson-East Coast Line""]",True
17876,LENTOR MRT STATION,Exit 4,872548D8089E5C63,20251202172807,LENTOR MRT STATION,['Thomson-East Coast Line'],1,"[""Thomson-East Coast Line""]",True
17877,LENTOR MRT STATION,Exit 5,1DBB7D760352881C,20251202172807,LENTOR MRT STATION,['Thomson-East Coast Line'],1,"[""Thomson-East Coast Line""]",True
17878,MAYFLOWER MRT STATION,Exit 3,03D1FF1990E162EB,20251202172807,MAYFLOWER MRT STATION,['Thomson-East Coast Line'],1,"[""Thomson-East Coast Line""]",True
17879,MAYFLOWER MRT STATION,Exit 2,4F085EF4AAB00599,20251202172807,MAYFLOWER MRT STATION,['Thomson-East Coast Line'],1,"[""Thomson-East Coast Line""]",True
17880,MAYFLOWER MRT STATION,Exit 1,4C504570F6BC8EC3,20251202172807,MAYFLOWER MRT STATION,['Thomson-East Coast Line'],1,"[""Thomson-East Coast Line""]",True
17881,MAYFLOWER MRT STATION,Exit 7,0C15214EBA575804,20251202172807,MAYFLOWER MRT STATION,['Thomson-East Coast Line'],1,"[""Thomson-East Coast Line""]",True
17722,CHENG LIM LRT STATION,Exit B,1BE9F4E72D049751,20251202172807,CHENG LIM LRT STATION,['Sengkang LRT'],1,"[""Sengkang LRT""]",True
17723,THANGGAM LRT STATION,Exit A,16EC7E9FB469AE26,20251202172807,THANGGAM LRT STATION,['Sengkang LRT'],1,"[""Sengkang LRT""]",True
17724,THANGGAM LRT STATION,Exit B,256206889802450A,20251202172807,THANGGAM LRT STATION,['Sengkang LRT'],1,"[""Sengkang LRT""]",True
17725,KUPANG LRT STATION,Exit A,62EDCA2810CF78CE,20251202172807,KUPANG LRT STATION,['Sengkang LRT'],1,"[""Sengkang LRT""]",True
17726,KUPANG LRT STATION,Exit B,EC95D6994C36C7C2,20251202172807,KUPANG LRT STATION,['Sengkang LRT'],1,"[""Sengkang LRT""]",True
17727,SOO TECK LRT STATION,Exit A,5C840B0088A042B7,20251202172807,SOO TECK LRT STATION,['Punggol LRT'],1,"[""Punggol LRT""]",True
17728,SOO TECK LRT STATION,Exit B,7CDEC183A92283AA,20251202172807,SOO TECK LRT STATION,['Punggol LRT'],1,"[""Punggol LRT""]",True
17729,DAMAI LRT STATION,Exit A,D50CD0EB8DF1A6AD,20251202172807,DAMAI LRT STATION,['Punggol LRT'],1,"[""Punggol LRT""]",True
17730,OASIS LRT STATION,Exit A,0BEB37C242EBF30C,20251202172807,OASIS LRT STATION,['Punggol LRT'],1,"[""Punggol LRT""]",True
17731,KADALOOR LRT STATION,Exit A,8F348D1DC2C6DCD9,20251202172807,KADALOOR LRT STATION,['Punggol LRT'],1,"[""Punggol LRT""]",True
17732,MERIDIAN LRT STATION,Exit A,FCD25ADA46274E53,20251202172807,MERIDIAN LRT STATION,['Punggol LRT'],1,"[""Punggol LRT""]",True
17733,MERIDIAN LRT STATION,Exit B,CB5492FBE757562B,20251202172807,MERIDIAN LRT STATION,['Punggol LRT'],1,"[""Punggol LRT""]",True
17734,COVE LRT STATION,Exit A,C06D10E6EBF83EA6,20251202172807,COVE LRT STATION,['Punggol LRT'],1,"[""Punggol LRT""]",True
17735,SOUTH VIEW LRT STATION,Exit A,335EFAECE777F0ED,20251202172807,SOUTH VIEW LRT STATION,['Bukit Panjang LRT'],1,"[""Bukit Panjang LRT""]",True
17736,HOLLAND VILLAGE MRT STATION,Exit B,76D46E22BDCAEAAA,20251202172807,HOLLAND VILLAGE MRT STATION,['Circle Line'],1,"[""Circle Line""]",True
