term,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
C(month_period)[T.2024-01],0.34142326027558756,0.004404627528460294,77.51467248240564,0.0,0.33279024428350057,0.35005627626767455
C(month_period)[T.2024-02],0.3484435482551769,0.004536551293640124,76.80802567881607,0.0,0.3395519632996135,0.35733513321074034
C(month_period)[T.2024-03],0.35376873067967846,0.004597762638784801,76.94366988313696,0.0,0.34475717223756785,0.36278028912178906
C(month_period)[T.2024-04],0.36580124256001195,0.004494421744136642,81.39005713854758,0.0,0.35699223100532135,0.37461025411470256
C(month_period)[T.2024-05],0.3694719924077091,0.004413775839153152,83.70882570207682,0.0,0.3608210458387455,0.3781229389766727
C(month_period)[T.2024-06],0.3798967073602254,0.004562962891117842,83.25658490445397,0.0,0.37095335599718976,0.38884005872326105
C(month_period)[T.2024-07],0.3866279324113485,0.0043283334633839425,89.3248950622853,0.0,0.3781444518520875,0.39511141297060953
C(month_period)[T.2024-08],0.3933675884213997,0.0044429065299963775,88.53834438459826,0.0,0.3846595460552807,0.4020756307875187
C(month_period)[T.2024-09],0.4049037741778214,0.004577907736509396,88.44734264709233,0.0,0.39593113110091643,0.4138764172547264
C(month_period)[T.2024-10],0.4169091005702413,0.004609322584369733,90.44910460031262,0.0,0.40787488477641193,0.4259433163640706
C(month_period)[T.2024-11],0.42523286251150033,0.004695312669004747,90.5653984064997,0.0,0.4160301072053017,0.43443561781769896
C(month_period)[T.2024-12],0.4324062573822378,0.004626729274489334,93.45830104355173,0.0,0.4233379246890337,0.44147459007544193
C(month_period)[T.2025-01],0.43782876126089965,0.004523051276738441,96.79942465224862,0.0,0.4289636361730668,0.44669388634873247
C(month_period)[T.2025-02],0.4433587652671903,0.004603396924511454,96.31121811514065,0.0,0.4343361636940844,0.45238136684029623
C(month_period)[T.2025-03],0.44613176063158577,0.004661601190849055,95.70354527696699,0.0,0.43699507940955307,0.4552684418536185
floor_area_sqm,0.008339207494866824,5.519338786536689e-05,151.09069795115013,0.0,0.008231029130857522,0.008447385858876126
lease_age_years,-0.004000418405131996,0.0010219371222594006,-3.9145445624751076,9.063509024742932e-05,-0.00600340264440472,-0.001997434165859272
remaining_lease_years,0.0066328965000053055,0.0010204669878034129,6.499863865545345,8.076969925469235e-11,0.004632793706254831,0.008632999293755779
storey_mid,0.007423042398160827,5.386243010779832e-05,137.81484391448024,0.0,0.007317472695050009,0.007528612101271644
ln_nearest_mall_walking_distance_m,-0.008865562145545056,0.0006935629915128708,-12.782634387983391,2.193442617123297e-37,-0.010224937111660143,-0.007506187179429968
malls_within_10min_walk,-0.003285256391294117,0.0006455086023408699,-5.0894076072425305,3.598336939738567e-07,-0.004550445343374807,-0.0020200674392134273
ln_nearest_mrt_walking_distance_m,-0.02557239458792261,0.0005404723398908667,-47.31489976542785,0.0,-0.026631713752462628,-0.024513075423382595
mrt_unique_lines_within_10min_walk,0.038735941300558394,0.0006159507906718963,62.88804542048586,0.0,0.03752868529721867,0.039943197303898115
school_count_1km,-0.002729214370416368,0.000286672465330073,-9.520322669545422,1.7630807709326795e-21,-0.0032910888902695007,-0.002167339850563235
good_school_count_1km,0.008758595082724342,0.001398175143491614,6.26430467133882,3.760123416280196e-10,0.006018188931350853,0.011499001234097831
school_count_2km,0.004088502501999741,0.00017467632415636532,23.406162923029164,7.842754032399585e-121,0.0037461390467161547,0.004430865957283327
good_school_count_2km,0.008849423594645406,0.000482116170874713,18.35537600530951,3.9773994567373125e-75,0.007904481806421133,0.00979436538286968
good_school_within_1km,-0.016376200016505856,0.0017022474891494352,-9.620340238944092,6.706648306462727e-22,-0.019712584239998644,-0.013039815793013066
ln_nearest_bus_stop_walking_distance_m,0.006532363894266112,0.0005980540355063908,10.922698462748366,9.30988249368084e-28,0.0053601853117870545,0.007704542476745169
bus_stops_within_5min_walk,0.0014683459871636625,0.00012224028040150933,12.01196514226527,3.241227368316863e-33,0.0012287565352146295,0.0017079354391126955
