address_key,query,latitude,longitude,x_svy21,y_svy21,matched_address,match_score,error
WOODLANDS|779|WOODLANDS CRES,779 WOODLANDS CRES SINGAPORE,1.447512123516143,103.8002821719824,24323.56958416104,47684.08078609966,779 WOODLANDS CRESCENT SINGAPORE 730779,4.5,
WOODLANDS|842|WOODLANDS ST 82,842 WOODLANDS ST 82 SINGAPORE,1.443437704504514,103.7922553881679,23430.30699309707,47233.56645633839,842 WOODLANDS STREET 82 SINGAPORE 730842,3.0,
WOODLANDS|730|WOODLANDS CIRCLE,730 WOODLANDS CIRCLE SINGAPORE,1.442533302068374,103.7977062313232,24036.89939161576,47133.5519274734,730 WOODLANDS CIRCLE SINGAPORE 730730,6.0,
WOODLANDS|550|WOODLANDS DR 44,550 WOODLANDS DR 44 SINGAPORE,1.432729459159216,103.7947773584383,23710.94302094448,46049.49731061049,550 WOODLANDS DRIVE 44 SINGAPORE 730550,3.0,
WOODLANDS|732|WOODLANDS CIRCLE,732 WOODLANDS CIRCLE SINGAPORE,1.443347427315352,103.7982917524546,24102.06018589065,47223.57281561755,732 WOODLANDS CIRCLE SINGAPORE 730732,6.0,
WOODLANDS|424|WOODLANDS ST 41,424 WOODLANDS ST 41 SINGAPORE,1.427287309390082,103.7748593983221,21494.3582492359,45447.77839041688,424 WOODLANDS STREET 41 SINGAPORE 730424,3.0,
WOODLANDS|427|WOODLANDS ST 41,427 WOODLANDS ST 41 SINGAPORE,1.427295079429201,103.7724946391981,21231.19547436945,45448.64438769966,427 WOODLANDS STREET 41 SINGAPORE 730427,3.0,
WOODLANDS|640|WOODLANDS RING RD,640 WOODLANDS RING RD SINGAPORE,1.438077969209631,103.8023865756233,24557.74231985211,46640.89590773359,640 WOODLANDS RING ROAD SINGAPORE 730640,3.0,
WOODLANDS|321|WOODLANDS ST 32,321 WOODLANDS ST 32 SINGAPORE,1.431885537110665,103.7793232071582,21991.12623509951,45956.21534989961,321 WOODLANDS STREET 32 SINGAPORE 730321,3.0,
WOODLANDS|760|WOODLANDS AVE 6,760 WOODLANDS AVE 6 SINGAPORE,1.44682318326801,103.7965420797872,23907.35508488864,47607.90762157552,760 WOODLANDS AVENUE 6 SINGAPORE 730760,3.0,
WOODLANDS|787B|WOODLANDS CRES,787B WOODLANDS CRES SINGAPORE,1.444562069973856,103.8008115542055,24382.4768011244,47357.87776162848,787B WOODLANDS CRESCENT SINGAPORE 732787,4.5,
WOODLANDS|881|WOODLANDS ST 82,881 WOODLANDS ST 82 SINGAPORE,1.444491679477335,103.7919669428745,23398.20964271203,47350.11033111066,881 WOODLANDS STREET 82 SINGAPORE 730881,3.0,
WOODLANDS|311|WOODLANDS ST 31,311 WOODLANDS ST 31 SINGAPORE,1.430458579680395,103.77616959046,21640.17202096339,45798.43800626695,311 WOODLANDS STREET 31 SINGAPORE 730311,3.0,
WOODLANDS|638|WOODLANDS RING RD,638 WOODLANDS RING RD SINGAPORE,1.43671737829561,103.8031925126413,24647.42877704464,46490.44738126732,638 WOODLANDS RING ROAD SINGAPORE 730638,3.0,
WOODLANDS|708|WOODLANDS DR 70,708 WOODLANDS DR 70 SINGAPORE,1.440058370964679,103.7973693897037,23999.40983019956,46859.8870097585,708 WOODLANDS DRIVE 70 ADMIRALTY CLOVER SINGAPORE 730708,3.0,
