blk_no,postal_code,entity_id,latitude,longitude,supermarket_name,supermarket_blk_house,supermarket_street,supermarket_postcode,supermarket_latitude,supermarket_longitude,euclidean_distance_to_nearest_supermarket_km,nearest_supermarket_estimated_walking_km,walking_time_to_nearest_supermarket_mins
274,600274,7656,1.3419805804666647,103.7467187049329,SHENG SIONG SUPERMARKET PTE LTD,154A,BUKIT BATOK WEST AVENUE 8,651154,1.34737179952411,103.743698115504,0.6879,0.8255,10.32
473A,531473,11051636,1.3768909667254892,103.90049679423095,NTUC FAIRPRICE CO-OPERATIVE LTD,476,UPPER SERANGOON VIEW,530476,1.3774300635181,103.903712868236,0.3629,0.4355,5.44
584,560584,4863,1.3706811073426153,103.85351398389355,COLD STORAGE SINGAPORE (1983) PTE LTD,525,ANG MO KIO AVENUE 10,560525,1.37264569542777,103.853890711284,0.2227,0.2672,3.34
615A,671615,3676,1.3850166574358327,103.76190365197137,NTUC FAIRPRICE CO-OPERATIVE LTD,628,SENJA ROAD,670628,1.38509601466743,103.760218439756,0.1878,0.2253,2.82
202A,821202,4373,1.3997092413896364,103.90439271864142,LI LI CHENG SUPERMARKET (PUNGGOL) PTE. LTD.,273C,PUNGGOL PLACE,823273,1.40230300615945,103.901262393433,0.4525,0.543,6.79
719,510719,3449,1.3821424749889226,103.93674945436427,NTUC FAIRPRICE CO-OPERATIVE LTD,734,PASIR RIS STREET 72,510734,1.37976753619581,103.936207570696,0.2712,0.3254,4.07
722A,731722,11181,1.4450454839970224,103.7993785797142,COLD STORAGE SINGAPORE (1983) PTE LTD,768,WOODLANDS AVENUE 6,730768,1.44562289934866,103.798140996577,0.152,0.1824,2.28
63,600063,4049,1.3210847792603722,103.73948801672492,SHENG SIONG SUPERMARKET PTE LTD,61,TEBAN GARDENS ROAD,600061,1.32213636288701,103.738292804658,0.1772,0.2126,2.66
454,760454,11055280,1.4199282472240524,103.84510976315481,SHENG SIONG SUPERMARKET PTE LTD,675,YISHUN AVENUE 4,760675,1.42015550315781,103.843558892177,0.1744,0.2093,2.62
748C,473748,9914,1.3361690709167868,103.92147868742033,NTUC FAIRPRICE CO-OPERATIVE LTD,745,BEDOK RESERVOIR ROAD,470745,1.33740471321143,103.921774737841,0.1414,0.1697,2.12
309,750309,806,1.4467884036211363,103.82142178106383,NTUC FAIRPRICE CO-OPERATIVE LTD,30,SEMBAWANG DRIVE,757713,1.44822653003389,103.819462105427,0.2705,0.3246,4.06
52,460052,10537,1.328717734214833,103.9209493184204,HAO MART PTE. LTD.,537,BEDOK NORTH STREET 3,460537,1.33177301702605,103.924236464013,0.4995,0.5994,7.49
126A,152126,665,1.2845472688231114,103.8232575480779,COLD STORAGE SINGAPORE (1983) PTE LTD,26,JALAN MEMBINA,161026,1.28263437748971,103.825595755974,0.3362,0.4035,5.04
